Date (HST),Inclination angle (degrees),Distance (km),Ht above vent elevation (m)
12/13/2010 0:00,39,1.98,1807
12/14/2010 0:00,6,2.08,424
12/15/2010 0:00,11,2.09,611
12/16/2010 0:00,10,2.18,589
12/17/2010 0:00,27,2.06,1256
12/20/2010 0:00,11,1.89,572
12/21/2010 0:00,17,1.66,714
12/22/2010 0:00,5,1.93,374
12/23/2010 0:00,23,1.88,1003
1/3/2011 0:00,10,2.42,632
1/24/2011 0:00,24,2.37,1260
1/26/2011 0:00,15,2.38,843
1/27/2011 0:00,9.5,2.77,669
1/31/2011 0:00,13,2.44,768
2/1/2011 0:00,12,2.27,688
2/2/2011 0:00,16,2.51,924
2/3/2011 0:00,10,2.39,626
2/8/2011 0:00,16,2.51,925
3/8/2011 0:00,9,2,522
3/9/2011 0:00,10,1.99,556
3/11/2011 0:00,10,2.2,593
3/12/2011 0:00,6,2.14,430
3/16/2011 0:00,6,2.37,454
3/17/2011 0:00,6,2.42,459
3/18/2011 0:00,6,2.31,448
3/21/2011 0:00,3,2.24,322
3/22/2011 0:00,4,2.36,370
3/23/2011 0:00,2,2.19,281
3/24/2011 0:00,7,2.25,481
3/25/2011 0:00,7,2.3,487
3/29/2011 0:00,6,2.25,442
3/30/2011 0:00,8,2.41,544
3/31/2011 0:00,14,2.2,754
4/1/2011 0:00,12,2.26,685
4/4/2011 0:00,12,2.43,722
4/11/2011 0:00,6,2.4,457
4/12/2011 0:00,10,2.4,628
6/17/2011 14:20,12,2.5,736
6/20/2011 12:08,3,1.99,309
6/21/2011 9:00,22,2.4,1175
6/22/2011 9:00,6,2.6,478
6/23/2011 9:00,9,2.3,569
6/24/2011 9:00,5,2.1,389
6/28/2011 9:00,9,2.4,585
6/30/2011 9:00,11,2.4,672
7/1/2011 9:00,9,2.42,588
7/7/2011 9:11,10,2.37,623
7/12/2011 9:00,11,2.1,613
7/13/2011 9:00,17,2.41,942
7/14/2011 9:30,18,2.36,972
7/19/2011 9:00,9,2.34,576
7/20/2011 9:00,13,2.36,750
7/22/2011 9:09,9,2.39,584
7/25/2011 10:08,23,1.87,999
7/26/2011 9:25,16,2.24,847
7/27/2011 9:39,15,2.1,768
7/28/2011 9:20,11,2.14,621
7/29/2011 9:14,27,1.87,1158
8/2/2011 9:14,8,1.94,478
8/3/2011 9:32,10,2.26,603
8/8/2011 9:47,12,2.25,683
8/9/2011 9:25,9,2.04,528
8/10/2011 9:33,10,2.02,561
8/15/2011 16:27,7,2.43,503
8/16/2011 9:22,10,2.35,619
8/17/2011 9:23,5,2.42,417
8/18/2011 9:31,7,2.04,455
8/19/2011 9:35,6,2.36,453
8/23/2011 9:30,20,1.94,911
8/26/2011 9:40,7,2.08,460
9/2/2011 10:00,5,2.15,393
9/6/2011 10:48,24,2.99,1536
9/7/2011 9:04,18,2.02,861
9/8/2011 9:23,29,1.94,1280
9/9/2011 8:39,9,2.1,538
9/16/2011 9:15,7,2.26,482
9/19/2011 10:04,13,2.38,754
9/20/2011 9:16,4,2.34,369
9/21/2011 9:10,8,2.05,493
9/22/2011 9:43,10,2.44,635
9/23/2011 9:15,11,2.07,607
9/26/2011 10:08,16,2.06,796
9/27/2011 9:13,37,1,959
9/28/2011 9:05,8.5,2.44,570
9/29/2011 9:05,13,2.22,718
9/30/2011 9:15,28,2.48,1524
10/3/2011 10:00,12.5,2.61,784
10/4/2011 8:38,4,2.81,401
10/5/2011 9:03,4,2.59,386
10/6/2011 9:05,7.5,2.29,506
10/7/2011 9:05,15,2.51,878
10/11/2011 9:46,11,2.5,691
10/12/2011 9:05,12,2.79,798
10/13/2011 9:06,9.5,2.46,617
10/14/2011 9:05,8,2.72,587
10/17/2011 8:50,25,2.19,1226
10/18/2011 9:30,43,0.77,923
10/19/2011 9:20,13.5,2.26,748
10/20/2011 9:10,13,2.56,796
10/21/2011 9:14,24,2.55,1340
10/24/2011 8:55,30,2.4,1591
10/25/2011 9:04,10,2.56,656
10/26/2011 10:44,16.5,2.06,815
10/27/2011 9:03,10,2.5,646
10/28/2011 9:00,12,2.68,775
10/31/2011 9:33,,,
11/1/2011 9:15,,,
11/2/2011 10:04,16,2.36,882
11/3/2011 9:03,6,2.61,479
11/4/2011 9:15,4.5,2.59,409
11/7/2011 12:58,8,2.42,545
11/8/2011 9:00,8,2.7,584
11/14/2011 9:46,15,2.48,870
11/15/2011 9:16,13.5,2.3,757
11/16/2011 9:06,22,2.35,1154
11/17/2011 9:21,15,2.08,762
11/18/2011 9:15,7.5,2.44,526
11/21/2011 9:36,11.5,2.52,718
11/22/2011 15:15,8,2.9,613
11/23/2011 9:21,4,2.83,403
11/28/2011 9:33,5,2.9,459
11/29/2011 9:12,8.5,2.72,612
11/30/2011 8:59,19,2.03,904
12/1/2011 9:00,,,
12/2/2011 9:25,,,
12/6/2011 9:10,12,2.32,698
12/7/2011 9:14,10,2.24,600
12/8/2011 14:34,10,2.37,623
12/9/2011 9:16,6,3.28,550
12/12/2011 9:50,12,2.7,779
2/16/2012 11:30,19,2.51,1069
2/17/2012 10:11,11,2.63,717
2/22/2012 10:55,23,1.35,779
2/28/2012 11:35,17,0.77,440
3/9/2012 11:49,23.5,2.24,1177
3/12/2012 11:44,9,2.14,544
3/13/2012 10:24,7,2.42,502
3/14/2012 10:00,7,2.11,464
3/15/2012 10:24,14,2.43,811
3/16/2012 9:55,11,2.38,668
3/21/2012 10:18,16,2.2,836
3/22/2012 11:15,14,1.96,694
3/23/2012 11:00,11,2.27,646
3/26/2012 11:22,10,2.67,676
3/27/2012 10:58,15,2.22,800
3/29/2012 10:38,10,2.1,575
4/18/2012 8:48,5,3.1,476
4/20/2012 9:09,5,2.93,461
4/24/2012 12:04,9,2.91,666
4/25/2012 8:35,11,3.4,866
4/27/2012 8:57,14,3.09,975
5/1/2012 16:23,8,3.4,683
5/2/2012 8:25,7,2.62,527
5/3/2012 8:34,4,2.47,378
5/4/2012 8:38,15,2.26,811
5/7/2012 8:45,4,2.29,365
5/8/2012 8:47,12,2.23,679
5/9/2012 8:28,11,2.23,638
5/10/2012 8:36,10,2.3,611
5/11/2012 8:48,11,2.74,738
5/17/2012 8:42,11,2.17,627
5/18/2012 8:50,9,2.26,562
5/22/2012 8:27,7,2.29,486
5/23/2012 8:48,9,2.3,569
5/24/2012 8:34,10,2.34,618
6/5/2012 8:30,10,2.3,611
6/11/2012 8:37,13,2.41,761
6/12/2012 9:01,20,2.23,1017
6/13/2012 9:08,38,2.2,1924
6/19/2012 8:45,6,2.71,490
6/21/2012 8:37,14,2.51,831
7/12/2012 8:42,14,2.39,801
8/6/2012 15:58,9,2.34,576
8/14/2012 11:42,9,2.53,606
8/15/2012 8:45,5,2.9,459
8/16/2012 9:08,7,2.53,516
8/20/2012 12:10,31,2.24,1550
8/21/2012 8:41,8,2.77,594
9/4/2012 9:47,12,2.13,658
9/6/2012 11:37,29,2.6,1646
9/11/2012 13:16,11,2.64,718
9/12/2012 9:05,10,2.51,648
9/13/2012 8:57,13,2.07,683
9/18/2012 9:08,24,2.13,1153
9/19/2012 7:43,16,2.17,827
9/20/2012 8:45,38,1.57,1432
9/21/2012 8:50,25,1.73,1012
9/26/2012 8:25,6,2.18,434
9/28/2012 9:17,7,2.57,521
10/3/2012 10:30,16,1.58,658
10/5/2012 10:15,27,1.8,1122
10/9/2012 10:00,50,0.64,968
10/11/2012 9:00,9,2.35,577
10/16/2012 10:00,18,1.87,813
10/22/2012 9:00,-2,1.85,140
10/23/2012 9:10,-2,1.83,141
10/25/2012 9:10,8,2.01,487
10/31/2012 8:40,13,2.02,671
11/13/2012 10:45,13,2.82,856
11/23/2012 13:45,9,2,522
11/27/2012 16:10,9,2.65,625
11/30/2012 9:30,32,1.89,1386
12/3/2012 15:45,17,2.18,871
12/4/2012 9:05,32,1.62,1217
12/5/2012 9:20,26,1.64,1005
12/7/2012 9:15,22,1.78,924
12/11/2012 16:30,4,2.79,400
12/17/2012 17:50,6,2.93,513
12/26/2012 8:50,11,2.88,765
12/27/2012 9:15,14,2.85,916
1/2/2013 13:05,5,2.85,454
1/3/2013 9:15,7,2.18,473
1/4/2013 11:50,6,2.72,491
1/7/2013 9:35,7,2.85,555
1/8/2013 9:10,9,2,522
1/9/2013 9:20,15,2.1,768
